證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"4576","大銀微系統","101,087","7,968,573","79.00","79.50","78.40","78.80","-0.50","78"
"4581","光隆精密-KY","12,000","436,650","36.70","36.70","36.20","36.70"," 0.00","12"
"4720","德淵","171,300","2,197,140","12.70","12.95","12.70","12.75","+0.10","104"
"4722","國精化","1,047,531","27,883,180","26.65","27.00","26.00","26.80","+0.15","183"
"4725","信昌化","258,573","4,616,641","17.85","17.90","17.85","17.90","+0.05","149"
"4737","華廣","48,465","3,412,788","69.50","71.00","69.50","70.70","+0.60","35"
"4739","康普","188,811","10,875,811","57.20","57.90","57.20","57.60","+0.40","156"
"4746","台耀","12,483,803","703,090,645","54.10","57.60","53.20","57.60","+5.20","5,369"
"4755","三福化","160,000","11,072,300","69.20","69.80","68.50","69.70","-0.50","131"
"4763","材料-KY","173,252","22,284,381","127.50","129.50","127.00","128.50","+2.00","158"
"4764","雙鍵","38,300","2,461,800","64.50","65.00","63.70","64.50"," 0.00","31"
"4766","南寶","79,000","10,592,500","134.50","135.00","133.00","134.50","-0.50","63"
"4807","日成-KY","12,000","355,000","29.40","29.95","29.40","29.55","-0.15","11"
"4904","遠傳","2,630,811","164,831,669","63.00","63.00","62.50","62.60","-0.60","1,246"
"4906","正文","4,930,928","132,478,162","26.90","27.30","26.55","26.80","-0.30","2,257"
"4912","聯德控股-KY","2,091,485","292,165,855","134.50","146.00","132.50","145.00","+9.00","1,575"
"4915","致伸","1,309,369","53,987,717","41.35","41.60","41.00","41.30","-0.05","905"
"4916","事欣科","183,801","3,818,440","20.55","21.05","20.55","21.00","+0.20","117"
"4919","新唐","2,535,498","115,077,951","45.60","45.85","45.00","45.60","-0.35","1,555"
"4927","泰鼎-KY","6,662,585","506,059,446","74.40","77.00","73.80","76.90","+3.20","3,892"
"4930","燦星網","985,498","11,790,588","12.00","12.30","11.70","11.90","-0.05","486"
"4934","太極","13,442,821","266,160,999","19.10","20.15","19.10","19.80","+1.45","4,795"
"4935","茂林-KY","9,059,252","1,093,261,117","118.00","124.00","116.50","121.50","+6.00","5,412"
"4938","和碩","54,060,160","3,586,482,218","67.30","67.70","63.60","66.70","X0.00","23,765"
"4942","嘉彰","2,438,734","99,430,998","39.60","41.70","39.40","41.55","+1.95","1,270"
"4943","康控-KY","734,496","90,674,504","123.00","125.00","122.00","124.00","+1.00","551"
"4952","凌通","77,101","2,302,697","29.65","30.00","29.65","29.95","+0.20","75"
"4956","光鋐","2,417,343","48,044,460","19.45","20.25","19.20","19.90","+0.40","974"
"4958","臻鼎-KY","4,788,119","646,750,803","134.00","136.50","133.00","135.50","+1.00","2,749"
"4960","誠美材","7,101,411","57,420,201","7.75","8.23","7.73","8.16","+0.39","1,784"
"4961","天鈺","1,290,500","45,699,973","35.20","35.70","35.20","35.35","+0.25","724"
"4967","十銓","2,890,220","111,431,100","38.80","39.30","38.00","38.50","-0.35","1,322"
"4968","立積","5,863,586","1,579,393,908","263.00","277.50","258.00","277.00","+14.50","4,477"
"4976","佳凌","1,125,267","29,262,744","26.65","26.65","25.50","26.20","+0.20","575"
"4977","眾達-KY","1,216,000","150,115,500","123.00","127.00","121.00","124.00","+0.50","883"
"4989","榮科","85,000","1,486,050","17.50","17.60","17.35","17.35","-0.05","54"
"4994","傳奇","71,201","4,480,961","62.90","63.20","62.80","62.80","-0.10","49"
"4999","鑫禾","376,492","18,071,988","48.10","48.40","47.75","47.95"," 0.00","237"
"5007","三星","104,100","4,769,834","45.40","46.15","45.15","45.55","+0.05","92"
"5203","訊連","407,189","46,241,546","114.00","114.50","112.50","114.50"," 0.00","348"
"5215","科嘉-KY","4,649,197","803,888,657","167.00","176.50","164.00","175.50","+11.50","2,893"
"5225","東科-KY","133,000","3,201,200","23.90","24.40","23.90","24.20","+0.35","74"
"5234","達興材料","99,101","8,317,894","84.10","84.50","83.50","84.10","+0.20","87"
"5243","乙盛-KY","489,046","16,888,198","34.15","34.80","34.15","34.55","-0.40","278"
"5258","虹堡","215,135","4,810,263","22.10","22.80","22.00","22.40","+0.35","111"
"5264","鎧勝-KY","3,734,271","311,438,175","83.40","83.40","83.40","83.40","X0.00","1,274"
"5269","祥碩","1,011,722","1,830,877,090","1,780.00","1,850.00","1,735.00","1,845.00","+70.00","1,046"
"5283","禾聯碩","232,581","24,647,875","107.00","107.00","105.50","106.00","-1.00","181"
"5284","jpp-KY","33,000","1,205,700","36.80","36.80","36.30","36.30","-0.50","24"
"5285","界霖","50,133","2,056,403","41.60","41.60","40.85","41.00","-0.10","40"
"5288","豐祥-KY","190,100","19,360,249","102.00","102.50","101.00","102.00"," 0.00","125"
"5305","敦南","132,479","5,265,440","39.50","39.95","39.50","39.85","+0.35","101"
"5388","中磊","619,528","49,121,932","79.10","79.80","78.80","79.40","+0.20","445"
"5434","崇越","907,539","110,460,297","120.00","123.00","119.00","123.00","+3.00","685"
"5469","瀚宇博","25,097,653","1,108,122,435","42.70","45.15","42.70","45.15","+2.80","11,460"
"5471","松翰","2,133,762","117,268,050","54.80","55.60","54.30","54.70","-0.10","1,360"
"5484","慧友","73,102","648,533","9.00","9.00","8.74","8.95","-0.10","45"
"5515","建國","810,800","9,703,267","11.85","12.05","11.80","12.05","+0.20","318"
"5519","隆大","1,133,975","18,419,940","16.15","16.35","16.05","16.30","+0.15","346"
"5521","工信","7,285,450","74,422,414","10.20","10.35","10.05","10.20","+0.05","1,391"
"5522","遠雄","605,438","26,752,279","44.00","44.40","43.90","44.10","-0.10","431"
"5525","順天","93,190","2,037,490","22.00","22.00","21.70","21.95","-0.05","55"
"5531","鄉林","713,955","6,784,403","9.34","9.64","9.33","9.52","+0.11","266"
"5533","皇鼎","273,500","4,410,274","16.15","16.15","16.00","16.15"," 0.00","35"
"5534","長虹","780,032","70,383,377","90.20","90.40","89.90","90.20","+0.20","440"
"5538","東明-KY","1,000","30,000","30.00","30.00","30.00","30.00"," 0.00","1"
"5546","永固-KY","285,400","20,668,760","73.00","73.80","71.90","72.00","-1.00","156"
"5607","遠雄港","714,576","18,344,644","25.55","25.80","25.30","25.80","+0.25","265"
"5608","四維航","1,844,786","11,750,980","6.20","6.46","6.19","6.40","+0.23","738"
"5706","鳳凰","67,215","1,921,617","28.50","28.75","28.35","28.60","+0.05","56"
"5871","中租-KY","6,178,653","814,774,375","133.00","134.00","130.00","132.00","-0.50","3,845"
"5876","上海商銀","1,877,454","82,328,376","43.55","44.10","43.40","44.00","+0.15","662"
"5880","合庫金","11,616,141","237,268,292","20.50","20.55","20.35","20.45","-0.10","3,884"
"5906","台南-KY","1,000","21,500","21.50","21.50","21.50","21.50","-0.20","1"
"5907","大洋-KY","260,000","6,282,700","23.75","24.35","23.75","24.25","+0.50","125"
"6005","群益證","8,578,077","93,540,646","10.90","11.00","10.80","10.85","-0.05","1,919"
"6024","群益期","169,737","6,570,164","38.80","38.80","38.50","38.75","-0.05","111"
"6108","競國","798,741","17,972,583","22.65","22.65","22.35","22.45"," 0.00","377"
"6112","聚碩","551,955","22,739,626","41.00","41.70","40.50","41.50","+0.60","368"
"6115","鎰勝","161,310","6,726,573","41.90","41.90","41.55","41.70","-0.10","132"
"6116","彩晶","146,602,407","1,187,495,421","7.66","8.30","7.64","8.30","+0.65","25,093"
"6117","迎廣","21,000","394,950","18.95","18.95","18.40","18.80","+0.20","14"
"6120","達運","898,229","10,064,884","11.20","11.35","11.10","11.30","+0.10","445"
"6128","上福","21,000","565,300","26.65","27.00","26.65","26.95","+0.05","17"
"6131","鈞泰","2,702,410","7,437,230","2.70","2.98","2.70","2.70","-0.30","338"
"6133","金橋","208,295","1,578,698","7.50","7.68","7.50","7.60","+0.13","77"
"6136","富爾特","120,051","2,109,600","17.50","17.70","17.45","17.65","-0.10","74"
"6139","亞翔","947,089","30,673,837","32.10","32.70","32.00","32.35","+0.30","509"
"6141","柏承","3,228,143","68,060,828","20.60","21.50","20.30","21.30","+1.05","1,591"
"6142","友勁","438,667","3,601,152","8.19","8.28","8.17","8.20","+0.01","160"
"6152","百一","339,461","2,423,726","7.14","7.25","7.05","7.25","+0.16","123"
"6153","嘉聯益","10,181,944","309,138,076","29.00","30.95","28.90","30.35","+1.25","4,933"
"6155","鈞寶","229,100","4,812,330","20.55","21.40","20.55","21.30","+0.35","139"
"6164","華興","102,557","636,294","6.16","6.24","6.11","6.24","+0.02","69"
"6165","捷泰","4,806,420","232,875,228","46.50","50.20","46.00","47.70","+2.05","1,627"
"6166","凌華","194,591","13,174,479","68.50","68.50","67.20","67.60","-0.90","149"
"6168","宏齊","696,718","10,168,259","14.55","14.75","14.40","14.55","-0.15","331"
"6172","互億","13,000","321,100","24.85","24.85","24.60","24.75","+0.10","11"
"6176","瑞儀","6,238,187","736,792,339","115.50","120.00","114.50","119.00","+3.50","3,587"
"6177","達麗","573,479","15,493,475","27.05","27.15","26.95","27.10"," 0.00","294"
"6183","關貿","325,139","15,958,488","48.45","49.75","48.45","48.60","+0.30","265"
"6184","大豐電","95,200","3,849,908","40.60","40.60","40.35","40.45","-0.15","64"
"6189","豐藝","142,998","4,750,728","33.30","33.30","33.15","33.20","-0.10","117"
"6191","精成科","54,086,539","1,082,164,034","19.40","21.30","18.80","20.55","+0.95","20,318"
"6192","巨路","156,883","10,625,277","67.60","68.00","67.40","67.70","+0.10","107"
"6196","帆宣","2,390,070","255,914,589","104.00","110.00","103.50","108.50","+2.50","1,891"
"6197","佳必琪","1,761,546","63,319,735","36.45","36.45","35.60","35.85","-0.95","1,156"
"6201","亞弘電","30,000","1,000,200","33.30","33.40","33.30","33.30"," 0.00","17"
"6202","盛群","697,970","46,527,179","66.60","67.00","66.00","67.00","+0.40","539"
"6205","詮欣","279,059","9,550,670","34.70","34.80","33.55","34.25","+0.15","216"
"6206","飛捷","84,700","5,360,230","63.60","63.60","62.90","63.50"," 0.00","76"
"6209","今國光","2,691,564","100,891,816","37.00","38.00","37.00","37.45","+0.70","1,484"
"6213","聯茂","1,812,595","228,676,160","125.50","127.00","124.00","127.00","+1.50","1,301"
"6214","精誠","426,984","35,282,460","82.60","83.00","82.00","82.90","+0.10","330"
"6215","和椿","595,153","9,232,312","15.55","15.65","15.30","15.30"," 0.00","262"
"6216","居易","90,001","2,447,427","27.05","27.30","27.05","27.25","+0.20","54"
"6224","聚鼎","2,020,135","155,651,764","73.90","79.10","73.80","78.70","+4.50","1,426"
"6225","天瀚","99,438","460,370","4.60","4.70","4.60","4.60"," 0.00","16"
"6226","光鼎","524,017","4,129,581","7.84","7.94","7.75","7.91","+0.14","219"
"6230","超眾","591,101","145,749,250","248.00","249.50","242.50","248.50","+0.50","514"
"6235","華孚","1,261,642","18,839,409","14.80","15.15","14.80","14.90","-0.05","606"
"6239","力成","4,724,686","431,800,812","91.50","91.80","91.10","91.30","+0.10","3,032"
"6243","迅杰","516,089","6,297,126","12.20","12.35","12.00","12.20","+0.05","260"
"6251","定穎","52,945,590","1,051,620,679","18.85","20.40","18.75","20.40","+1.85","16,157"
"6257","矽格","2,624,511","112,446,033","42.65","43.25","42.30","43.25","+0.45","1,572"
"6269","台郡","1,681,846","229,323,816","135.50","138.00","134.00","137.50","+2.00","1,104"
"6271","同欣電","2,695,069","375,083,186","138.50","141.00","136.00","140.50","+3.00","1,825"
"6277","宏正","163,100","14,253,600","87.50","87.80","87.00","87.20","-0.30","129"
"6278","台表科","8,279,702","1,109,480,770","130.00","137.00","129.00","135.50","+5.00","5,508"
"6281","全國電","65,791","4,576,970","69.40","69.80","69.40","69.80","+0.40","55"
"6282","康舒","16,830,427","415,868,806","24.00","25.20","24.00","24.85","+0.85","6,735"
"6283","淳安","212,800","5,410,547","25.50","25.65","25.25","25.45","-0.05","125"
"6285","啟碁","1,001,832","67,262,956","67.10","67.50","66.70","67.40","+0.30","726"
"6288","聯嘉","1,193,200","30,474,030","25.60","25.80","25.40","25.40","-0.25","554"
"6289","華上","37,650","84,417","2.17","2.27","2.17","2.27","+0.10","20"
"6405","悅城","250,301","4,785,014","18.45","19.75","18.45","19.15","+0.75","128"
"6409","旭隼","137,860","134,570,220","994.00","994.00","965.00","980.00","-25.00","162"
"6412","群電","560,197","41,395,097","73.90","74.80","73.20","74.00"," 0.00","494"
"6414","樺漢","5,298,801","1,585,434,683","310.00","310.50","291.00","300.50","-6.50","4,283"
"6415","矽力-KY","890,722","1,493,856,280","1,675.00","1,740.00","1,625.00","1,740.00","-15.00","873"
"6416","瑞祺電通","1,121,070","170,579,850","153.00","154.50","150.50","152.00","-2.50","902"
"6431","光麗-KY","657,038","20,293,873","30.00","31.75","30.00","31.70","+1.40","306"
"6442","光聖","19,000","642,950","32.50","34.80","32.50","34.30","-1.00","17"
"6443","元晶","26,761,258","493,707,181","17.85","19.45","17.65","19.00","+1.25","10,276"
"6449","鈺邦","927,515","41,958,846","43.90","46.50","43.90","44.75","+0.40","603"
"6451","訊芯-KY","521,590","56,399,310","107.00","109.50","106.00","109.00","+2.00","376"
"6452","康友-KY","63,121","3,963,996","62.80","62.80","62.80","62.80","-6.90","32"
"6456","GIS-KY","10,212,229","1,386,909,004","134.50","138.00","133.50","135.00","+1.50","6,573"
"6464","台數科","291,025","33,138,025","115.50","120.50","115.50","120.00","+4.50","42"
"6477","安集","15,080,418","597,068,039","38.50","40.80","38.45","39.50","+1.40","8,228"
"6491","晶碩","280,030","49,029,550","176.00","177.50","173.50","174.50","-3.50","220"
"6504","南六","2,613,153","735,749,605","281.00","289.50","277.50","277.50","-1.00","2,219"
"6505","台塑化","1,509,577","125,392,004","83.00","83.50","82.30","83.00","-0.90","1,003"
"6525","捷敏-KY","112,561","6,701,002","59.10","59.80","59.10","59.80","+0.70","93"
"6531","愛普","4,240,842","1,620,116,372","385.50","398.50","371.00","396.00","+6.00","3,582"
"6533","晶心科","575,329","81,414,879","140.00","143.50","138.50","143.00","+2.00","483"
"6541","泰福-KY","150,962","6,020,121","39.50","40.30","39.40","40.20","+0.70","109"
"6552","易華電","255,251","13,698,152","53.30","54.00","53.10","53.50","+0.20","186"
"6558","興能高","303,160","10,741,428","35.25","35.95","35.00","35.55"," 0.00","206"
"6573","虹揚-KY","171,024","2,683,677","15.90","15.90","15.50","15.75","+0.05","133"
"6579","研揚","24,000","1,700,700","70.50","71.60","70.50","70.60","+0.10","15"
"6581","鋼聯","62,139","4,031,118","65.20","65.20","64.50","65.00","-1.00","48"
"6582","申豐","959,295","152,967,790","158.50","164.00","155.00","163.50","+5.00","816"
"6591","動力-KY","1,519,170","92,431,302","59.20","61.70","58.80","61.20","+2.40","1,098"
"6592","和潤企業","860,477","68,324,463","80.00","80.00","79.10","79.40","+0.40","464"
"6598","ABC-KY","756,606","75,630,308","99.90","102.00","98.00","100.50"," 0.00","670"
"6605","帝寶","105,129","5,251,866","50.00","50.10","49.70","49.95","-0.65","76"
"6625","必應","4,515","166,802","37.00","37.00","36.90","36.90","-0.20","9"
"6641","基士德-KY","6,000","368,400","61.90","61.90","60.90","60.90","-1.00","6"
"6655","科定","61,000","2,659,600","43.35","43.80","43.30","43.60","+0.25","35"
"6666","羅麗芬-KY","19,200","1,894,700","98.50","100.00","98.00","99.40","-0.40","19"
"6668","中揚光","361,096","21,094,592","58.50","59.10","57.80","58.80","+0.30","254"
"6669","緯穎","1,207,479","942,076,780","790.00","790.00","774.00","782.00","-7.00","1,123"
"6670","復盛應用","329,065","53,333,790","163.00","163.00","161.50","162.50","-0.50","254"
"6671","三能-KY","87,000","3,251,400","38.45","38.55","36.95","37.50"," 0.00","53"
"6672","騰輝電子-KY","225,610","19,088,050","84.30","85.00","84.10","85.00","+0.80","179"
"6674","鋐寶科技","39,000","1,194,700","30.65","31.20","29.80","30.95","+0.30","32"
"6698","旭暉應材","80,000","3,638,150","45.40","45.80","45.00","45.60","-0.20","74"
"6706","惠特","1,490,834","219,564,100","140.50","150.00","140.50","149.00","+7.50","1,213"
"6715","嘉基","1,040,225","144,283,161","141.00","141.00","136.00","138.00","-0.50","183"
"8011","台通","482,998","8,225,862","17.05","17.15","16.90","17.10","+0.05","290"
"8016","矽創","438,555","62,553,920","142.50","143.50","140.50","143.50","+2.00","378"
"8021","尖點","2,169,702","50,924,214","22.95","23.95","22.95","23.65","+0.70","1,092"
"8028","昇陽半導體","1,296,055","61,835,731","48.40","48.40","47.20","47.55","-0.80","921"
"8033","雷虎","302,486","3,114,651","10.40","10.55","10.20","10.20","-0.20","138"
"8039","台虹","2,892,662","157,221,375","54.20","54.90","53.20","54.70","+0.40","1,921"
"8046","南電","46,584,946","6,349,410,724","131.00","144.00","126.00","144.00","+13.00","26,851"
"8072","陞泰","80,308","2,358,972","29.20","29.60","29.00","29.50","+0.15","58"
"8081","致新","756,719","122,856,197","160.00","164.00","160.00","163.00","+2.50","636"
"8101","華冠","143,009","526,433","3.67","3.70","3.62","3.70","+0.01","46"
"8103","瀚荃","1,041,056","32,240,828","30.70","31.35","30.70","30.85","+0.25","466"
"8104","錸寶","497,283","26,019,243","51.60","53.10","51.20","52.50","+0.90","373"
"8105","凌巨","1,039,971","10,354,278","9.85","10.10","9.82","9.98","+0.15","390"
"8110","華東","4,435,105","44,196,338","9.61","10.10","9.60","9.91","+0.32","1,387"
"8112","至上","1,532,191","46,312,981","30.20","30.30","30.10","30.30","+0.20","804"
"8114","振樺電","40,634","3,279,898","80.40","81.20","80.40","81.20","+0.90","31"
"8131","福懋科","250,339","8,987,672","36.00","36.00","35.80","35.90","-0.15","181"
"8150","南茂","2,045,157","65,107,196","31.85","32.00","31.65","31.90","+0.05","1,087"
"8163","達方","2,375,379","92,745,877","39.10","39.30","38.70","39.15","-0.10","1,373"
"8201","無敵","64,001","591,409","9.22","9.35","9.17","9.17","-0.22","45"
"8210","勤誠","1,444,055","133,965,596","92.00","93.50","91.80","92.20","+1.40","931"
"8213","志超","40,321,873","1,847,500,615","43.50","47.40","43.35","46.20","+3.10","19,424"
"8215","明基材","2,503,641","46,031,871","18.35","18.60","18.20","18.30","+0.30","1,058"
"8222","寶一","27,975","370,197","13.25","13.25","13.15","13.20"," 0.00","61"
"8249","菱光","219,042","3,749,582","17.10","17.25","17.00","17.15","+0.05","114"
"8261","富鼎","9,825,950","297,646,445","30.50","31.00","29.55","29.90","+0.45","4,356"
"8271","宇瞻","1,102,325","42,851,100","39.05","39.40","38.10","39.20","+0.10","715"
"8341","日友","75,917","19,667,441","260.00","260.00","258.00","259.50"," 0.00","150"
"8367","建新國際","183,341","4,874,254","26.15","26.95","26.05","26.95","+0.80","120"
"8374","羅昇","160,050","3,582,617","22.60","22.60","22.25","22.30","-0.10","73"
"8404","百和興業-KY","151,786","4,614,734","30.65","30.80","30.20","30.20","-0.45","110"
"8411","福貞-KY","60,265","767,281","12.75","12.80","12.60","12.80","+0.05","45"
"8422","可寧衛","172,232","27,382,120","160.50","160.50","158.00","158.50","-1.50","181"
"8427","基勝-KY","2,000","85,000","42.25","42.75","42.25","42.75","+0.25","2"
"8429","金麗-KY","487,940","3,818,809","7.79","7.89","7.75","7.84","+0.04","314"
"8442","威宏-KY","113,022","4,798,812","41.50","46.60","41.40","46.35","+3.95","83"
"8443","阿瘦","50,298","504,742","10.05","10.10","9.95","10.10","-0.05","67"
"8454","富邦媒","160,458","98,433,044","611.00","616.00","609.00","615.00","+7.00","173"
"8462","柏文","52,761","9,100,153","173.50","173.50","171.50","173.00","-0.50","109"
"8463","潤泰材","104,000","3,775,250","36.45","36.65","36.15","36.20","+0.05","59"
"8464","億豐","1,086,911","380,200,391","346.00","355.00","342.50","349.50","+4.00","564"
"8466","美吉吉-KY","5,000","318,200","63.50","64.20","63.50","64.20","+0.70","4"
"8467","波力-KY","104,019","5,515,418","54.10","54.40","52.10","53.10","-2.90","77"
"8473","山林水","30,062","1,363,830","45.50","45.90","45.20","45.40","+0.20","23"
"8478","東哥遊艇","378,400","18,926,450","50.60","50.60","49.50","49.95","+0.25","232"
"8480","泰昇-KY","45,000","5,444,500","121.00","121.50","120.50","120.50"," 0.00","40"
"8481","政伸","12,000","730,300","61.10","61.90","60.00","61.90","+0.40","11"
"8482","商億-KY","44,000","4,797,500","109.00","109.50","107.00","108.50","+1.50","10"
"8488","吉源-KY","18,001","241,913","13.35","13.55","13.30","13.55","-0.10","10"
"8497","格威傳媒","1,100","75,740","68.80","68.80","68.80","68.80","X0.00","2"
"8499","鼎炫-KY","529,130","71,252,745","132.00","136.50","131.50","135.50","+3.50","406"
"8926","台汽電","1,819,430","70,065,920","38.50","39.00","38.15","38.80","+0.10","950"
"8940","新天地","29,641","304,974","10.20","10.30","10.20","10.30"," 0.00","72"
"8996","高力","1,455,211","89,341,226","61.60","62.40","60.20","62.20","+0.70","1,002"
"9103","美德醫療-DR","5,241,323","231,653,554","43.90","44.45","43.90","44.45","+4.00","2,361"
"910322","康師傅-DR","7,000","185,300","26.95","26.95","26.10","26.15"," 0.00","4"
"9105","泰金寶-DR","3,156,677","7,851,823","2.47","2.51","2.47","2.49","+0.01","399"
"910861","神州-DR","3,000","34,650","11.55","11.55","11.55","11.55","+0.10","2"
"9110","越南控-DR","344,000","1,090,680","3.17","3.18","3.16","3.18","+0.02","49"
"911608","明輝-DR","953,350","6,110,012","6.10","6.50","6.08","6.26","+0.14","287"
"911616","杜康-DR","1,694,000","5,793,480","3.42","3.42","3.42","3.42","+0.31","287"
"911622","泰聚亨-DR","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"911868","同方友友-DR","2,778,000","6,750,540","2.43","2.43","2.43","2.43","+0.22","255"
"912000","晨訊科-DR","4,928,200","16,618,266","3.23","3.48","3.20","3.48","+0.31","884"
"912398","友佳-DR","1,176,000","5,932,960","5.10","5.20","4.62","5.10","+0.05","408"
"9136","巨騰-DR","425,000","4,764,550","11.40","11.40","11.10","11.25","+0.15","146"
"9188","精熙-DR","1,364,000","4,366,970","3.11","3.31","3.10","3.17","+0.03","396"
"9802","鈺齊-KY","1,717,955","192,858,415","115.00","115.00","111.50","112.00","-3.00","1,305"
"9902","台火","235,497","2,342,530","9.92","10.05","9.90","10.05","+0.10","98"
"9904","寶成","4,775,258","132,679,592","27.65","28.05","27.65","27.70","-0.15","2,257"
"9905","大華","45,100","960,349","21.10","21.35","21.10","21.30","+0.20","32"
"9906","欣巴巴","36,466","1,544,872","42.50","43.00","42.20","42.60","+0.05","34"
"9907","統一實","1,822,020","16,816,071","9.16","9.28","9.15","9.28","+0.10","718"
"9908","大台北","241,712","7,410,807","30.50","30.90","30.40","30.70","+0.20","115"
"9910","豐泰","2,481,683","482,344,868","191.00","196.50","190.00","196.00","+5.50","1,753"
"9911","櫻花","260,127","12,768,494","48.75","49.85","48.55","49.35","+0.75","189"
"9912","偉聯","12,221","85,142","6.96","6.96","6.95","6.96"," 0.00","16"
"9914","美利達","2,485,964","618,402,964","250.00","254.50","242.00","247.50","+3.50","2,028"
"9917","中保科","142,732","12,235,919","85.70","85.90","85.60","85.60","-0.40","134"
"9918","欣天然","35,001","1,210,934","34.55","34.60","34.55","34.60"," 0.00","9"
"9919","康那香","25,821,764","1,159,865,980","43.80","46.50","43.30","44.60","+1.70","14,359"
"9921","巨大","2,062,955","633,023,275","304.00","314.00","301.00","304.00","+5.50","1,772"
"9924","福興","184,470","7,567,840","41.00","41.10","40.90","41.10","+0.20","89"
"9925","新保","157,556","5,674,959","36.00","36.10","35.90","36.10","+0.10","112"
"9926","新海","19,000","792,350","41.30","41.80","41.30","41.75","-0.05","12"
"9927","泰銘","119,392","3,616,105","30.20","30.50","30.15","30.50","+0.35","60"
"9928","中視","440,055","2,023,969","4.78","4.98","4.52","4.52","-0.26","67"
"9929","秋雨","231,996","3,020,198","13.40","13.40","12.50","13.15","-0.35","138"
"9930","中聯資源","47,325","2,137,955","45.40","45.40","45.05","45.25","-0.10","41"
"9931","欣高","42,051","1,645,661","38.85","39.30","38.80","39.30","X0.00","14"
"9933","中鼎","1,090,737","37,901,564","34.85","34.90","34.70","34.70","-0.30","772"
"9934","成霖","637,800","8,338,739","13.10","13.20","12.90","13.05","-0.05","228"
"9935","慶豐富","1,540,610","51,319,821","33.00","33.80","32.20","33.40","+0.85","725"
"9937","全國","10,006","449,670","44.60","45.20","44.60","45.20","+0.35","11"
"9938","百和","2,876,221","210,978,240","73.00","74.20","72.40","73.30","+0.30","1,814"
"9939","宏全","953,804","53,900,842","55.90","57.00","55.50","56.70","+0.80","612"
"9940","信義","331,874","9,917,597","30.10","30.10","29.75","29.75","-0.35","179"
"9941","裕融","845,561","96,274,227","113.00","114.50","112.50","114.50","+1.50","548"
"9941A","裕融甲特","10,200","549,540","53.90","54.00","53.80","54.00"," 0.00","12"
"9942","茂順","57,413","3,657,953","63.80","63.90","63.60","63.90","+0.10","36"
"9943","好樂迪","144,352","9,345,993","64.30","65.50","64.30","64.90","+0.40","128"
"9944","新麗","2,903,525","64,237,220","21.55","22.95","21.35","22.35","+1.10","1,293"
"9945","潤泰新","6,312,682","334,379,646","52.60","53.40","52.30","53.10","-0.30","3,144"
"9946","三發地產","181,682","3,217,753","17.70","17.80","17.60","17.75","-0.05","86"
"9955","佳龍","399,034","7,571,994","19.10","19.10","18.75","19.05","+0.30","237"
"9958","世紀鋼","8,058,301","803,494,799","100.00","102.00","98.50","98.50","-0.90","5,314"
